ID	MapID	Location	Experiment	Horizon	Temp	Virome
1	FIRE001	HB1	Blodgett	Heat	O	10C	Bulk
2	FIRE002	HB2	Blodgett	Heat	O	10C	Bulk
3	FIRE003	HB3	Blodgett	Heat	O	10C	Bulk
4	FIRE004	HB4	Blodgett	Heat	A	10C	Bulk
5	FIRE005	HB5	Blodgett	Heat	A	10C	Bulk
6	FIRE006	HB6	Blodgett	Heat	A	10C	Bulk
7	FIRE007	HB7	Blodgett	Heat	O	30C	Bulk
8	FIRE008	HB8	Blodgett	Heat	O	30C	Bulk
9	FIRE009	HB9	Blodgett	Heat	O	30C	Bulk
10	FIRE010	HB10	Blodgett	Heat	A	30C	Bulk
11	FIRE011	HB11	Blodgett	Heat	A	30C	Bulk
12	FIRE012	HB12	Blodgett	Heat	A	30C	Bulk
13	FIRE013	HB13	Blodgett	Heat	O	60C	Bulk
14	FIRE014	HB14	Blodgett	Heat	O	60C	Bulk
15	FIRE015	HB15	Blodgett	Heat	O	60C	Bulk
16	FIRE016	HB16	Blodgett	Heat	A	60C	Bulk
17	FIRE017	HB17	Blodgett	Heat	A	60C	Bulk
18	FIRE018	HB18	Blodgett	Heat	A	60C	Bulk
19	FIRE019	HB19	Blodgett	Heat	O	90C	Bulk
20	FIRE020	HB20	Blodgett	Heat	O	90C	Bulk
21	FIRE021	HB21	Blodgett	Heat	O	90C	Bulk
22	FIRE022	HB22	Blodgett	Heat	A	90C	Bulk
23	FIRE023	HB23	Blodgett	Heat	A	90C	Bulk
24	FIRE024	HB24	Blodgett	Heat	A	90C	Bulk
25	FIRE025	HN1	Blodgett	Heat	O	10C	Virome
26	FIRE027	HN3	Blodgett	Heat	O	10C	Virome
27	FIRE029	HN5	Blodgett	Heat	A	10C	Virome
28	FIRE031	HN7	Blodgett	Heat	O	30C	Virome
29	FIRE032	HN8	Blodgett	Heat	O	30C	Virome
30	FIRE033	HN9	Blodgett	Heat	O	30C	Virome
31	FIRE034	HN10	Blodgett	Heat	A	30C	Virome
32	FIRE035	HN11	Blodgett	Heat	A	30C	Virome
33	FIRE036	HN12	Blodgett	Heat	A	30C	Virome
34	FIRE037	HN13	Blodgett	Heat	O	60C	Virome
35	FIRE038	HN14	Blodgett	Heat	O	60C	Virome
36	FIRE039	HN15	Blodgett	Heat	O	60C	Virome
37	FIRE040	HN16	Blodgett	Heat	A	60C	Virome
38	FIRE041	HN17	Blodgett	Heat	A	60C	Virome
39	FIRE042	HN18	Blodgett	Heat	A	60C	Virome
40	FIRE043	HN19	Blodgett	Heat	O	90C	Virome
41	FIRE044	HN20	Blodgett	Heat	O	90C	Virome
42	FIRE045	HN21	Blodgett	Heat	O	90C	Virome
43	FIRE046	HN22	Blodgett	Heat	A	90C	Virome
44	FIRE047	HN23	Blodgett	Heat	A	90C	Virome
45	FIRE048	HN24	Blodgett	Heat	A	90C	Virome
46	FIRE049	CB1	Blodgett	Heat	O	Control	Bulk
47	FIRE050	CB2	Blodgett	Heat	O	Control	Bulk
48	FIRE051	CB3	Blodgett	Heat	O	Control	Bulk
49	FIRE052	CB4	Blodgett	Heat	A	Control	Bulk
50	FIRE053	CB5	Blodgett	Heat	A	Control	Bulk
51	FIRE054	CB6	Blodgett	Heat	A	Control	Bulk
52	FIRE055	C7	Blodgett	Heat	O	Control	Virome
53	FIRE056	C9	Blodgett	Heat	O	Control	Virome
54	FIRE057	C10	Blodgett	Heat	A	Control	Virome
55	FIRE058	C11	Blodgett	Heat	A	Control	Virome
56	FIRE059	C12	Blodgett	Heat	A	Control	Virome
57	FIRE232	HN2	Blodgett	Heat	O	10C	Virome
58	FIRE233	HN4	Blodgett	Heat	A	10C	Virome
59	FIRE234	HN6	Blodgett	Heat	A	10C	Virome
60	FIRE265	C8	Blodgett	Heat	O	Control	Virome
