SampleID,SoilpH,WDRFBuffer,SolubleSalt,OrganicMatter,CO2C,TotalN,OrganicN,TotalOrganicC,Nitrate,Ammonium,InorganicNitrogen,TotalPhosphorus,InorganicPhosphorus,OrganicPhosphorus,Potassium,Calcium,Aluminum,Iron,Sulfur,Zinc,Manganese,Copper,Magnesium,Sodium,MAC,OrganicCN,OrganicNInorganicN,OrganicNRelease,OrganicPRelease,SoilHealthCalculation,AvailableN,AvailableP,AvailableK,NutrientValue,TraditionalN,HaneyTestN
O30,5.7,5.8,0.09,68.2,1080,12.1,3.1,99,1.2,12.8,14,2,1.4,0.7,51,646,85,23,4.7,1.56,52,0.4,87,9,1093.3,31.7,0.2,3.1,0.7,56.29,10.3,4.8,61.1,38.98,0.7,10.3
O60,5.8,5.9,0.11,70.3,908,27.6,7.6,194,0.2,22.6,22.8,5,3.6,1.6,56,555,76,22,5.1,1.59,65.1,0.36,78,7,468,25.5,0.3,7.6,1.6,50.04,18.3,11.9,66.9,49.75,0.1,18.3
O90,5.7,5.8,0.12,66.7,884,31,9.4,319,0.9,26.2,27.1,4,2.2,1.4,69,631,87,22,5.7,1.7,85,0.34,90,8,277.6,33.9,0.3,9.4,1.4,51.51,21.9,8.2,82.7,58.59,0.5,21.9
A30,5.5,5.6,0.14,20.8,238,11.6,8.2,202,0.7,3,3.8,2,0.8,1.6,70,463,392,55,4,0.45,12.2,0.33,70,10,117.7,24.7,2.2,8.2,1.6,21.86,7.2,5.4,84.1,48.75,0.4,7.2
A60,5.6,5.6,0.22,21.5,407,16.6,5.1,205,0.8,13.1,13.9,2,0.9,1.4,84,451,413,58,4.1,0.43,14.2,0.34,70,10,198.4,40,0.4,5.1,1.4,27.23,11.4,5.4,101.1,59.96,0.5,11.4
A90,5.5,5.6,0.15,22.9,255,12.1,6.3,238,0.7,7.3,8,2,0.8,1.3,84,457,383,54,4.3,0.45,30.1,0.35,73,10,107.2,38,0.8,6.3,1.3,23.6,8.6,4.9,100.5,57.64,0.4,8.6
OC1,5.8,5.8,0.12,72.6,1160,14.6,3.6,122,1.4,12.4,13.8,2,1.3,0.7,54,658,101,24,4.8,1.43,49.3,0.39,91,10,952.4,34.3,0.3,3.6,0.7,60.79,10.4,4.7,64.3,40.68,0.8,10.4
OC2,5.8,5.8,0.13,64.4,884,16.2,4.1,95,1.4,14.6,16,1,1.2,0.2,45,589,83,22,4.3,1.34,52.2,0.38,80,9,933.9,23.4,0.3,4.1,0.2,46.5,12.1,3.3,54.5,36.26,0.9,12.1
OC3,5.8,5.9,0.14,60.1,596,17.5,5.5,95,0.8,14.4,15.2,2,1.7,0.6,41,605,88,22,4.1,1.34,49.6,0.37,83,8,624.2,17.4,0.4,5.5,0.6,32.26,12.4,5.1,49.6,34.74,0.5,12.4
AC1,5.5,5.6,0.14,20.9,264,10.2,7.3,155,0.8,3.4,4.2,2,0.7,1.4,63,399,334,47,3.7,0.44,10.1,0.35,59,9,170.5,21.2,1.7,7.3,1.4,22.68,6.9,5,76.1,44.46,0.5,6.9
AC2,5.4,5.6,0.12,24.5,349,11.8,8.8,201,0.4,2.6,3,2,0.8,1.6,76,466,429,58,4.1,0.46,10.7,0.36,71,17,173.8,22.9,2.9,8.8,1.6,26.71,7.1,5.4,91.1,52.19,0.3,7.1
AC3,5.5,5.6,0.1,24.1,230,12.2,9.8,177,0.3,2.4,2.7,3,0.8,1.9,72,453,417,55,4.3,0.45,10.8,0.36,69,10,130.3,18,3.6,9.8,1.9,20.94,7.5,6.1,86.5,50.45,0.2,7.5
